访客ID,事件名称,事件时间
4,usr_data_game_start,2023/5/10 22:49
4,关闭应用,2023/5/10 22:52
4,开启应用,2023/5/10 22:55
4,usr_data_game_end,2023/5/10 22:56
4,gameid2,2023/5/10 22:56
4,usr_data_game_die,2023/5/10 22:56
4,usr_data_end_next_click,2023/5/10 22:57
4,usr_data_game_start,2023/5/10 22:57
4,usr_data_game_end,2023/5/10 23:00
4,gameid3,2023/5/10 23:00
4,usr_data_game_die,2023/5/10 23:00
4,usr_data_end_next_click,2023/5/10 23:00
4,usr_data_game_start,2023/5/10 23:00
4,usr_data_game_end,2023/5/10 23:03
4,gameid4,2023/5/10 23:03
4,usr_data_game_die,2023/5/10 23:03
4,topsocre1500,2023/5/10 23:03
4,usr_data_topscore,2023/5/10 23:03
4,SDK监控游戏请求展示广告,2023/5/10 23:03
4,Max实时收益,2023/5/10 23:03
4,show成功,2023/5/10 23:03
4,SDK监控广告关闭,2023/5/10 23:03
4,usr_data_end_next_click,2023/5/10 23:03
4,usr_data_game_start,2023/5/10 23:03
4,usr_data_game_end,2023/5/10 23:07
4,gameid5,2023/5/10 23:07
4,SDK关键行为监控,2023/5/10 23:07
4,usr_data_game_die,2023/5/10 23:07
4,SDK监控游戏请求展示广告,2023/5/10 23:07
4,Max实时收益,2023/5/10 23:07
4,show成功,2023/5/10 23:07
4,SDK监控广告关闭,2023/5/10 23:08
4,usr_data_end_next_click,2023/5/10 23:08
4,usr_data_game_start,2023/5/10 23:08
4,usr_data_game_end,2023/5/10 23:15
4,usr_data_game_die,2023/5/10 23:15
4,usr_data_topscore,2023/5/10 23:15
4,SDK监控游戏请求展示广告,2023/5/10 23:15
4,Max实时收益,2023/5/10 23:15
4,show成功,2023/5/10 23:15
4,SDK监控广告被点击,2023/5/10 23:15
4,SDK监控广告被点击,2023/5/10 23:16
4,SDK监控广告关闭,2023/5/10 23:16
4,usr_data_end_next_click,2023/5/10 23:16
4,usr_data_game_start,2023/5/10 23:16
4,usr_data_game_end,2023/5/10 23:20
4,SDK关键行为监控,2023/5/10 23:20
4,SDK关键行为监控,2023/5/10 23:20
4,usr_data_game_die,2023/5/10 23:20
4,SDK监控游戏请求展示广告,2023/5/10 23:20
